Timestamp,current,js_201_out,speed
143045511,5,0,0
143046589,5,0,0
143047516,63,0,0
143048510,142,0,0
143049509,-6,0,0
143050512,5,0,0
143051511,73,0,0
143052514,-64,0,0
143053513,17,0,0
143054514,-6,0,0
143055511,73,0,0
143056516,-52,0,0
143057514,5,0,0
143058538,-6,0,0
143059510,-52,0,0
143060511,73,0,0
143061510,-52,0,0
143062512,17,0,0
143063510,-64,0,0
143064512,73,0,0
143065510,17,0,0
143066515,5,0,0
143067513,-64,0,0
143068515,-52,0,0
143069510,-133,0,0
143070511,5,0,0
143071510,-64,0,0
143072511,73,0,0
143073510,5,0,0
143074511,5,0,0
143075510,5,0,0
143076515,73,0,0
143077513,17,0,0
143078515,-52,0,0
143079538,17,0,0
143080516,73,0,0
143081510,5,0,0
143082516,73,0,0
143083510,-52,0,0
143084509,-52,0,0
143085510,-64,0,0
143086511,5,0,0
143087513,-64,0,0
143088512,5,0,0
143089514,5,0,0
143090513,63,0,0
143091517,-64,0,0
143092512,-64,0,0
143093511,73,0,0
143094513,73,0,0
143095513,5,0,0
143096510,5,0,0
143097509,73,0,0
143098512,-52,0,0
143099511,17,0,0
143100514,142,0,0
143101552,5,0,0
143102517,5,0,0
143103511,-52,0,0
143104510,73,0,0
143105513,5,0,0
143106515,73,0,0
143107509,-64,0,0
143108516,5,0,0
143109511,5,0,0
143110510,17,0,0
143111512,63,0,0
143112578,-64,0,0
143113511,5,0,0
143114513,132,0,0
143115513,86,0,0
143116511,-52,0,0
143117510,-64,0,0
143118512,5,0,0
143119510,-64,0,0
143120511,132,0,0
143121509,-64,0,0
143122510,-124,0,0
143123516,5,0,0
143124515,5,0,0
143125504,17,0,0
143126517,5,0,0
143127515,5,0,0
143128516,5,0,0
143129515,63,0,0
143130516,5,0,0
143131515,73,0,0
143132517,5,0,0
143133515,-52,0,0
143134517,5,0,0
143135540,-52,0,0
143136511,-133,0,0
143137513,-120,0,0
143138510,73,0,0
143139512,-120,0,0
143140511,5,0,0
143141513,5,0,0
143142511,-64,0,0
143143512,-52,0,0
143144511,73,0,0
143145512,17,0,0
143146516,73,0,0
143147510,17,0,0
143148517,5,0,0
143149510,73,0,0
143150517,5,0,0
143151510,-120,0,0
143152517,73,0,0
143153510,-52,0,0
143154509,-133,0,0
143155512,132,0,0
143156514,73,0,0
143157528,73,0,0
143158516,-40,0,0
143159510,5,0,0
143160510,63,0,0
143161512,-64,0,0
143162511,17,0,0
143163514,17,0,0
143164513,73,0,0
143165516,5,0,0
143166517,73,0,0
143167511,-52,0,0
143168511,17,0,0
143169513,73,0,0
143170513,5,0,0
143171514,63,0,0
143172514,17,0,0
143173516,73,0,0
143174515,5,0,0
143175510,73,0,0
143176512,-120,0,0
143177514,5,0,0
143178514,5,0,0
143179587,73,0,0
143180512,73,0,0
143181514,17,0,0
143182514,-52,0,0
143183516,-52,0,0
143184515,-52,0,0
143185516,73,0,0
